"study","source","scan_id","crosscut","manual_code","manual_rep","groove_left_manual","groove_right_manual"
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet B/LAPD - 103 - Bullet B - Land 5 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BB-L5",150,"HH",1,256.71,2110.44
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet B/LAPD - 103 - Bullet B - Land 6- Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BB-L6",250,"HH",1,229.2280208,2060.775
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet C/LAPD - 103 - Bullet C - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BC-L1",75,"HH",1,245.745,2041.425
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet C/LAPD - 103 - Bullet C - Land 2 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BC-L2",75,"HH",1,241.875,2034.33
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet C/LAPD - 103 - Bullet C - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BC-L3",500,"HH",1,242.3816587,2112.95428
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet C/LAPD - 103 - Bullet C - Land 4 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BC-L4",75,"HH",1,234.3302225,2072.385
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet C/LAPD - 103 - Bullet C - Land 5 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BC-L5",475,"HH",1,172.86,2096.25
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet C/LAPD - 103 - Bullet C - Land 6 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Amy Monroe.x3p","LAPD-FAU103-BC-L6",125,"HH",1,232.845,2083.995
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet D/LAPD - 103 - Bullet D - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p","LAPD-FAU103-BD-L1",50,"HH",1,276.3577237,2098.185
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet D/LAPD - 103 - Bullet D - Land 2 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p","LAPD-FAU103-BD-L2",100,"HH",1,292.185,2005.95
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet D/LAPD - 103 - Bullet D - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p","LAPD-FAU103-BD-L3",150,"HH",1,205.755,2007.24
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet D/LAPD - 103 - Bullet D - Land 4 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p","LAPD-FAU103-BD-L4",225,"HH",1,259.29,2080.77
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet D/LAPD - 103 - Bullet D - Land 5 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p","LAPD-FAU103-BD-L5",350,"HH",1,254.775,2142.045
"LAPD-1","/media/Raven/LAPD/FAU 103/Bullet D/LAPD - 103 - Bullet D - Land 6 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p","LAPD-FAU103-BD-L6",100,"HH",1,242.52,2105.28
"LAPD-1","/media/Raven/LAPD/FAU 104/Bullet A/LAPD - 104 - Bullet A - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU104-BA-L1",125,"HH",1,307.02,2050.320713
"LAPD-1","/media/Raven/LAPD/FAU 104/Bullet A/LAPD - 104 - Bullet A - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU104-BA-L2",175,"HH",1,355.5596293,2069.805
"LAPD-1","/media/Raven/LAPD/FAU 104/Bullet A/LAPD - 104 - Bullet A - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU104-BA-L3",50,"HH",1,376.035,1912.228589
"LAPD-1","/media/Raven/LAPD/FAU 104/Bullet A/LAPD - 104 - Bullet A - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU104-BA-L4",100,"HH",1,363.7441978,2064.613761
"LAPD-1","/media/Raven/LAPD/FAU 104/Bullet A/LAPD - 104 - Bullet A - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU104-BA-L5",75,"HH",1,327.9308003,2054.605462
"LAPD-1","/media/Raven/LAPD/FAU 104/Bullet A/LAPD - 104 - Bullet A - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU104-BA-L6",475,"HH",1,314.0018795,2057.971191
